"","id","name","email","plz","gender","age","income","years_in_job","religion","job_title","education","pol_immigration","pol_environment","pol_redistribution","pol_eu_integration","ip_address"
"1",1,"Fatma Bonbach","fatma.bonbach@t-online.de",80331,"female",20,8471.35,3,"Catholicism","Local government officer","trade school",5,4,5,2,"217.0.37.127"
"2",2,"Karolina Ehlert","karolina68@web.de",96176,"female",32,34721.35,4,"None","Structural engineer","high school",3,5,3,4,"79.192.222.137"
"3",3,"Willy Scheel","willy.scheel@vodafone.de",80636,"male",69,724891.17,0,"None","Psychotherapist, dance movement","high school",2,1,2,5,"87.128.247.149"
"4",4,"Lia Röhricht","lia.röhricht@web.de",85777,"female",63,59490.47,5,"None","Fitness centre manager","high school",2,3,5,1,"2.160.215.205"
"5",5,"Adem Aumann","adem.aumann@web.de",44869,"male",18,52337.39,1,"Islam","Programme researcher, broadcasting/film/video","high school",2,4,3,3,"2.160.201.162"
"6",6,"Hans-Detlef Junken","hans-detlef.junken@gmail.com",80539,"male",61,60960.23,6,"Protestantism","Chief Strategy Officer","high school",2,5,5,4,"84.128.70.52"
"7",7,"Hans-Bernd Hande","hans-bernd.hande@hotmail.com",91731,"male",39,61037.2,11,"None","Engineer, communications","high school",2,3,3,2,"217.0.222.244"
"8",8,"Louise Ortmann","louise16@icloud.com",72224,"female",37,58720.93,2,"Buddhism","Secretary/administrator","university",5,5,4,5,"78.48.146.54"
"9",9,"Hans Peter Tlustek","hans peter98@bluewin.ch",72348,"male",36,55625.01,1,"Catholicism","Video editor","trade school",1,3,1,3,"84.128.209.105"
"10",10,"Nuri Gute","nuri.gute@yahoo.com",80331,"male",21,75996.23,4,"Catholicism","Hotel manager","high school",1,3,3,5,"84.128.55.38"
"11",11,"Aleksander Ebert","aleksander.ebert@yahoo.com",25845,"non-binary",41,29760.83,6,"Catholicism","Herbalist","university",4,4,2,2,"78.48.61.11"
"12",12,"Carmela Fechner","carmela.fechner@vodafone.de",32832,"female",38,43369.95,9,"None","Teacher, primary school","high school",5,4,2,3,"31.16.199.152"
"13",13,"Bernt Käster","bernt.käster@gmx.de",90441,"male",33,70224.28,3,"None","Production assistant, television","high school",3,2,3,2,"46.5.145.20"
"14",14,"Helena Kostolzin","helena78@hotmail.com",80331,"female",43,43707.07,2,"Islam","Surveyor, mining","high school",3,2,5,3,"217.0.121.156"
"15",15,"Theodora Jopich","theodora99@t-online.de",97944,"female",70,50073.94,5,"Islam","Data scientist","high school",5,1,2,3,"84.128.154.89"
"16",16,"Britta Pruschke","britta.pruschke@bluewin.ch",94113,"female",33,53897.71,9,"Catholicism","Programmer, applications","high school",4,5,5,5,"91.0.180.9"
"17",17,"Samuel Ritter","samuel28@hotmail.com",65623,"male",51,47372.98,8,"Catholicism","Horticulturist, commercial","trade school",2,3,4,3,"93.192.226.242"
"18",18,"Selma Klotz","selma35@vodafone.de",39120,"female",69,53557.83,8,"Judaism","Training and development officer","high school",1,2,1,1,"46.5.82.51"
"19",19,"Ben Fechner","ben.fechner@t-online.de",80636,"male",33,88933.73,4,"Islam","Catering manager","high school",1,2,4,4,"2.160.94.146"
"20",20,"Marlies Täsche","marlies22@icloud.com",66589,"female",56,33516.81,2,"None","Textile designer","no degree",3,2,3,1,"78.48.193.103"
"21",21,"Monique Kostolzin","monique.kostolzin@vodafone.de",86492,"female",50,60266.05,3,"None","Designer, fashion/clothing","high school",5,3,5,1,"79.192.149.44"
